hour_beginning,location,Pedestrians,Towards Manhattan,Towards Brooklyn,weather_summary,temperature,precipitation,lat,long,events,Location1
12/16/2017 16:00,Brooklyn Bridge,1432,632,800,cloudy,37,0.0026,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/24/2017 19:00,Brooklyn Bridge,539,258,281,clear-night,44,0,40.70816397,-73.9995087,Black Friday,"(40.7081639691088, -73.9995087014816)"
1/25/2018 3:00,Brooklyn Bridge,2,1,1,clear-night,23,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/17/2018 3:00,Brooklyn Bridge,0,0,0,partly-cloudy-night,35,0.0032,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/22/2017 14:00,Brooklyn Bridge,3093,1510,1583,clear-day,65,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/17/2017 2:00,Brooklyn Bridge,12,6,6,partly-cloudy-night,33,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/13/2018 3:00,Brooklyn Bridge,8,5,3,cloudy,55,0.0208,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/10/2018 3:00,Brooklyn Bridge,3,2,1,clear-night,27,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/12/2018 8:00,Brooklyn Bridge,116,41,75,cloudy,55,0.0042,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/15/2017 3:00,Brooklyn Bridge,4,2,2,partly-cloudy-night,36,0.0002,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/10/2017 2:00,Brooklyn Bridge,5,4,1,clear-night,48,0.0008,40.70816397,-73.9995087,Veterans Day observed,"(40.7081639691088, -73.9995087014816)"
12/22/2017 14:00,Brooklyn Bridge,1772,824,948,partly-cloudy-day,45,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/20/2017 12:00,Brooklyn Bridge,2098,1012,1086,clear-day,69,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/15/2018 15:00,Brooklyn Bridge,889,448,441,partly-cloudy-day,30,0.0001,40.70816397,-73.9995087,Martin Luther King Jr. Day,"(40.7081639691088, -73.9995087014816)"
10/10/2017 18:00,Brooklyn Bridge,1535,933,602,clear-day,78,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/15/2018 0:00,Brooklyn Bridge,8,4,4,clear-night,17,0,40.70816397,-73.9995087,Martin Luther King Jr. Day,"(40.7081639691088, -73.9995087014816)"
